#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_2	63356	63643	+	EEGGAC_05307	10.8	9.0	PF08281.18|Sigma70_r4_2	PFAM:PF08281.18
contig_2	66106	66699	+	EEGGAC_05311	23.4	9.7		
contig_3	5506	5793	+	EEGGAC_05329	11.0	9.4		SO:0001217, UniRef:UniRef50_A0A828PH07
contig_3	15507	15968	-	EEGGAC_05346	17.5	9.2		
contig_3	24620	24961	+	EEGGAC_05356	12.5	8.4		
contig_3	48483	48641	+	EEGGAC_05383	5.5	4.7	PF01323.26|DSBA	PFAM:PF01323.26
contig_3	59053	59373	+	EEGGAC_05395	11.8	4.7		
contig_4	2523	2738	-	EEGGAC_05399	7.9	6.7		
contig_4	11176	11517	-	EEGGAC_05409	13.4	4.9		
contig_4	12574	12831	-	EEGGAC_05412	9.5	7.8		
contig_4	20654	20881	-	EEGGAC_05421	8.4	8.9		
contig_4	25390	25617	-	EEGGAC_05426	8.7	9.0		SO:0001217, UniRef:UniRef50_B7LJD3
contig_4	28437	28709	-	EEGGAC_05430	10.4	10.7		
contig_4	28722	28871	-	EEGGAC_05431	5.7	9.9		
contig_4	28940	29251	-	EEGGAC_05432	12.2	5.9		SO:0001217, UniRef:UniRef50_A0A097H0B9
contig_4	29248	29622	-	EEGGAC_05433	13.0	5.0		
contig_4	29674	29973	-	EEGGAC_05434	11.7	5.0		SO:0001217, UniRef:UniRef50_A0AAP8VU78
contig_4	30883	31425	-	EEGGAC_05437	20.7	8.7		SO:0001217, UniRef:UniRef50_A0A6D0D791
contig_4	32679	33029	-	EEGGAC_05439	12.3	6.7	PF21716.3|dnstrm_HI1420	PFAM:PF21716.3
contig_5	3919	4137	-	EEGGAC_05447	8.4	5.0	PF07362.18|CcdA	PFAM:PF07362.18
contig_5	5329	5496	+	EEGGAC_05448	6.5	4.6		
contig_5	6968	7288	-	EEGGAC_05450	12.1	7.8		
contig_5	12296	12409	+	EEGGAC_05454	4.3	5.9		
contig_6	89	445	-	EEGGAC_05458	13.4	9.7	PF00665.32|rve	PFAM:PF00665.32
