locus_tag	ftype	length_bp	gene	EC_number	COG	product
NGPMFCKN_00793	CDS	1509	putP		COG0591	Sodium/proline symporter
NGPMFCKN_00794	CDS	1344				hypothetical protein
NGPMFCKN_00795	CDS	147				hypothetical protein
NGPMFCKN_00796	CDS	831	efeU_1		COG0672	Ferrous iron permease EfeU
NGPMFCKN_00797	CDS	1128	efeO		COG2822	Iron uptake system component EfeO
NGPMFCKN_00798	CDS	1272	efeB	1.11.1.-	COG2837	Deferrochelatase/peroxidase EfeB
NGPMFCKN_00799	CDS	1065	phoH		COG1702	Protein PhoH
NGPMFCKN_00800	CDS	687				hypothetical protein
NGPMFCKN_00801	tRNA	88				tRNA-Ser(gga)
NGPMFCKN_00802	CDS	939	ghrA	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
NGPMFCKN_00803	CDS	738	ycdX	3.1.3.-	COG1387	putative phosphatase YcdX
NGPMFCKN_00804	CDS	555	ycdY		COG3381	Chaperone protein YcdY
NGPMFCKN_00805	CDS	522	ycdZ			Inner membrane protein YcdZ
NGPMFCKN_00806	CDS	834	csgG		COG1462	Curli production assembly/transport component CsgG
NGPMFCKN_00807	CDS	417	csgF			Curli production assembly/transport component CsgF
NGPMFCKN_00808	CDS	390	csgE			Curli production assembly/transport component CsgE
NGPMFCKN_00809	CDS	651	csgD		COG2771	CsgBAC operon transcriptional regulatory protein
NGPMFCKN_00810	CDS	456	csgB			Minor curlin subunit
NGPMFCKN_00811	CDS	456	csgA			Major curlin subunit
NGPMFCKN_00812	CDS	333	csgC			Curli assembly protein CsgC
NGPMFCKN_00813	CDS	312	ymdA			putative protein YmdA
NGPMFCKN_00814	CDS	534	ymdB	3.5.1.-	COG2110	O-acetyl-ADP-ribose deacetylase
NGPMFCKN_00815	CDS	1482	clsC	2.7.8.-	COG1502	Cardiolipin synthase C
NGPMFCKN_00816	CDS	1158	mdoC	2.1.-.-		Glucans biosynthesis protein C
NGPMFCKN_00817	CDS	1503	mdoG		COG3131	Glucans biosynthesis protein G
NGPMFCKN_00818	CDS	2514	mdoH	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
NGPMFCKN_00819	CDS	228				hypothetical protein
NGPMFCKN_00820	CDS	375				hypothetical protein
NGPMFCKN_00821	CDS	1227	yjhB_1			Putative metabolite transport protein YjhB
NGPMFCKN_00822	CDS	921	lpxL	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
NGPMFCKN_00823	CDS	1053				hypothetical protein
NGPMFCKN_00824	CDS	576	yceI		COG2353	Protein YceI
NGPMFCKN_00825	CDS	567	yceJ		COG3038	Cytochrome b561 
NGPMFCKN_00826	CDS	114	yceO			putative protein YceO
NGPMFCKN_00827	CDS	1119	solA	1.5.3.-	COG0665	N-methyl-L-tryptophan oxidase
NGPMFCKN_00828	CDS	255	bssS			Biofilm regulator BssS
NGPMFCKN_00829	CDS	246	dinI			DNA damage-inducible protein I
NGPMFCKN_00830	CDS	1047	pyrC	3.5.2.3	COG0418	Dihydroorotase
NGPMFCKN_00831	CDS	561	yceB			putative lipoprotein YceB
NGPMFCKN_00832	CDS	648	grxB		COG2999	Glutaredoxin 2
NGPMFCKN_00833	CDS	1209	mdtH			Multidrug resistance protein MdtH
NGPMFCKN_00834	CDS	585	ydaF	2.3.1.-	COG1670	Putative ribosomal N-acetyltransferase YdaF
NGPMFCKN_00835	CDS	648				hypothetical protein
NGPMFCKN_00836	CDS	924	yceM	1.-.-.-	COG0673	Putative oxidoreductase YceM
NGPMFCKN_00837	CDS	1536	murJ		COG0728	Lipid II flippase MurJ
NGPMFCKN_00838	CDS	417	flgN		COG3418	Flagella synthesis protein FlgN
NGPMFCKN_00839	CDS	294	flgM		COG2747	Negative regulator of flagellin synthesis
NGPMFCKN_00840	CDS	660	flgA		COG1261	Flagella basal body P-ring formation protein FlgA
NGPMFCKN_00841	CDS	417	flgB_1		COG1815	Flagellar basal body rod protein FlgB
NGPMFCKN_00842	CDS	405	flgC_1		COG1558	Flagellar basal-body rod protein FlgC
NGPMFCKN_00843	CDS	696	flgD_1		COG1843	Basal-body rod modification protein FlgD
NGPMFCKN_00844	CDS	1206	flgE_1		COG1749	Flagellar hook protein FlgE
NGPMFCKN_00845	CDS	756	flgF_1		COG4787	Flagellar basal-body rod protein FlgF
NGPMFCKN_00846	CDS	783	flgG_1		COG4786	Flagellar basal-body rod protein FlgG
NGPMFCKN_00847	CDS	699	flgH_1			Flagellar L-ring protein
NGPMFCKN_00848	CDS	1098	flgI_1			Flagellar P-ring protein
NGPMFCKN_00849	CDS	942	flgJ_1	3.2.1.-	COG1705	Peptidoglycan hydrolase FlgJ
NGPMFCKN_00850	CDS	1644	flgK_1		COG1256	Flagellar hook-associated protein 1
NGPMFCKN_00851	CDS	954	flgL_1		COG1344	Flagellar hook-associated protein 3
NGPMFCKN_00852	CDS	495				hypothetical protein
NGPMFCKN_00853	CDS	294				hypothetical protein
NGPMFCKN_00854	CDS	3186	rne	3.1.26.12	COG1530	Ribonuclease E
NGPMFCKN_00855	CDS	960	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
NGPMFCKN_00856	CDS	624	yceF		COG0424	Maf-like protein YceF
NGPMFCKN_00857	CDS	522	yceD		COG1399	Large ribosomal RNA subunit accumulation protein YceD
NGPMFCKN_00858	CDS	174	rpmF		COG0333	50S ribosomal protein L32
NGPMFCKN_00859	CDS	1041	plsX	2.3.1.-	COG0416	Phosphate acyltransferase
NGPMFCKN_00860	CDS	954	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
NGPMFCKN_00861	CDS	930	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
NGPMFCKN_00862	CDS	735	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
NGPMFCKN_00863	CDS	237	acpP_1		COG0236	Acyl carrier protein
NGPMFCKN_00864	CDS	1242	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
NGPMFCKN_00865	CDS	459				hypothetical protein
NGPMFCKN_00866	CDS	810	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
NGPMFCKN_00867	CDS	1023	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
NGPMFCKN_00868	CDS	642	tmk_1	2.7.4.9	COG0125	Thymidylate kinase
NGPMFCKN_00869	CDS	1005	holB	2.7.7.7	COG0470	DNA polymerase III subunit delta'
NGPMFCKN_00870	CDS	798	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
NGPMFCKN_00871	CDS	1434	ptsG_1		COG1263	PTS system glucose-specific EIICB component
NGPMFCKN_00872	CDS	2190	fhuE		COG4773	FhuE receptor
NGPMFCKN_00873	CDS	360	hinT	3.9.1.-	COG0537	Purine nucleoside phosphoramidase
NGPMFCKN_00874	CDS	378				hypothetical protein
NGPMFCKN_00875	CDS	642	lpoB		COG3417	Penicillin-binding protein activator LpoB
NGPMFCKN_00876	CDS	825	thiK	2.7.1.89	COG0510	Thiamine kinase
NGPMFCKN_00877	CDS	1026	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
NGPMFCKN_00878	CDS	543				hypothetical protein
NGPMFCKN_00879	CDS	1305	ndh	1.6.99.3	COG1252	NADH dehydrogenase
NGPMFCKN_00880	CDS	540				hypothetical protein
NGPMFCKN_00881	CDS	696	comR			HTH-type transcriptional repressor ComR
NGPMFCKN_00882	CDS	258	bhsA_3			Multiple stress resistance protein BhsA
NGPMFCKN_00883	CDS	960	ycfS	2.-.-.-	COG1376	putative L,D-transpeptidase YcfS
NGPMFCKN_00884	CDS	3495	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
NGPMFCKN_00885	CDS	1074	ycfT		COG4763	Inner membrane protein YcfT
NGPMFCKN_00886	CDS	1200	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
NGPMFCKN_00887	CDS	702	lolD_2	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
NGPMFCKN_00888	CDS	1239	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
NGPMFCKN_00889	CDS	912	nagK	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
NGPMFCKN_00890	CDS	822	cobB	3.5.1.-	COG0846	NAD-dependent protein deacylase
NGPMFCKN_00891	CDS	786	ycfZ			Inner membrane protein YcfZ
NGPMFCKN_00892	CDS	462	ymfA			Inner membrane protein YmfA
NGPMFCKN_00893	CDS	1047	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
NGPMFCKN_00894	CDS	795	ydcV_2			Inner membrane ABC transporter permease protein YdcV
NGPMFCKN_00895	CDS	1119				hypothetical protein
NGPMFCKN_00896	CDS	270				hypothetical protein
NGPMFCKN_00897	CDS	2457	recE_1	3.1.11.-		Exodeoxyribonuclease 8
NGPMFCKN_00898	CDS	204				hypothetical protein
NGPMFCKN_00899	CDS	189				hypothetical protein
NGPMFCKN_00900	CDS	855				hypothetical protein
NGPMFCKN_00901	CDS	375				hypothetical protein
NGPMFCKN_00902	CDS	153				hypothetical protein
NGPMFCKN_00903	CDS	408				hypothetical protein
NGPMFCKN_00904	CDS	228				hypothetical protein
NGPMFCKN_00905	CDS	552				hypothetical protein
NGPMFCKN_00906	CDS	1041	dnaT_1			Primosomal protein 1
NGPMFCKN_00907	CDS	423				hypothetical protein
NGPMFCKN_00908	CDS	771				hypothetical protein
NGPMFCKN_00909	CDS	393				hypothetical protein
NGPMFCKN_00910	CDS	297				hypothetical protein
NGPMFCKN_00911	CDS	462				hypothetical protein
NGPMFCKN_00912	CDS	357				hypothetical protein
NGPMFCKN_00913	CDS	408				hypothetical protein
NGPMFCKN_00914	CDS	366				hypothetical protein
NGPMFCKN_00915	CDS	987				hypothetical protein
NGPMFCKN_00916	CDS	180				hypothetical protein
NGPMFCKN_00917	CDS	156	hokC_1			Toxic protein HokC
NGPMFCKN_00918	CDS	252				hypothetical protein
NGPMFCKN_00919	CDS	279				hypothetical protein
NGPMFCKN_00920	CDS	1059				hypothetical protein
NGPMFCKN_00921	CDS	369	rusA_2	3.1.22.4	COG4570	Crossover junction endodeoxyribonuclease RusA
NGPMFCKN_00922	CDS	690				hypothetical protein
NGPMFCKN_00923	CDS	321				hypothetical protein
NGPMFCKN_00924	CDS	336	iraM			Anti-adapter protein IraM
NGPMFCKN_00925	CDS	189				hypothetical protein
NGPMFCKN_00926	CDS	162				hypothetical protein
NGPMFCKN_00927	CDS	216				hypothetical protein
NGPMFCKN_00928	CDS	891	ydfR_1			putative protein YdfR
NGPMFCKN_00929	CDS	534	rrrD_2	3.2.1.17	COG3772	Lysozyme RrrD
NGPMFCKN_00930	CDS	147				hypothetical protein
NGPMFCKN_00931	CDS	132				hypothetical protein
NGPMFCKN_00932	CDS	474				hypothetical protein
NGPMFCKN_00933	CDS	327	tonB_1		COG0810	Protein TonB
NGPMFCKN_00934	CDS	354				hypothetical protein
NGPMFCKN_00935	CDS	510				hypothetical protein
NGPMFCKN_00936	CDS	1929				hypothetical protein
NGPMFCKN_00937	CDS	207				hypothetical protein
NGPMFCKN_00938	CDS	1593				hypothetical protein
NGPMFCKN_00939	CDS	1449	sppA_2	3.4.21.-	COG0616	Putative signal peptide peptidase SppA
NGPMFCKN_00940	CDS	348				hypothetical protein
NGPMFCKN_00941	CDS	1029				hypothetical protein
NGPMFCKN_00942	CDS	375				hypothetical protein
NGPMFCKN_00943	CDS	354				hypothetical protein
NGPMFCKN_00944	CDS	534				hypothetical protein
NGPMFCKN_00945	CDS	396				hypothetical protein
NGPMFCKN_00946	CDS	747				hypothetical protein
NGPMFCKN_00947	CDS	432				hypothetical protein
NGPMFCKN_00948	CDS	414				hypothetical protein
NGPMFCKN_00949	CDS	2556				hypothetical protein
NGPMFCKN_00950	CDS	330				hypothetical protein
NGPMFCKN_00951	CDS	699				hypothetical protein
NGPMFCKN_00952	CDS	744				hypothetical protein
NGPMFCKN_00953	CDS	582				hypothetical protein
NGPMFCKN_00954	CDS	3693				hypothetical protein
NGPMFCKN_00955	CDS	600	ompX_2		COG3637	Outer membrane protein X
NGPMFCKN_00956	CDS	3027				hypothetical protein
NGPMFCKN_00957	CDS	585	tfaE_2			Prophage tail fiber assembly protein TfaE
NGPMFCKN_00958	CDS	657				hypothetical protein
NGPMFCKN_00959	CDS	267				hypothetical protein
NGPMFCKN_00960	CDS	864	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
NGPMFCKN_00961	CDS	1137	potA_2	3.6.3.31	COG3842	Spermidine/putrescine import ATP-binding protein PotA
NGPMFCKN_00962	CDS	1227	pepT	3.4.11.4	COG2195	Peptidase T
NGPMFCKN_00963	CDS	1122	roxA	1.14.11.47	COG2850	50S ribosomal protein L16 3-hydroxylase
NGPMFCKN_00964	CDS	1461	phoQ	2.7.13.3	COG0642	Sensor protein PhoQ
NGPMFCKN_00965	CDS	672	phoP			Transcriptional regulatory protein PhoP
NGPMFCKN_00966	CDS	102				hypothetical protein
NGPMFCKN_00967	CDS	1371	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
NGPMFCKN_00968	CDS	642	hflD		COG2915	High frequency lysogenization protein HflD
NGPMFCKN_00969	CDS	1107	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
NGPMFCKN_00970	CDS	462	nudJ	3.6.1.-		Phosphatase NudJ
NGPMFCKN_00971	CDS	654	rluE	5.4.99.20	COG1187	Ribosomal large subunit pseudouridine synthase E
NGPMFCKN_00972	CDS	1251	icd_1	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
NGPMFCKN_00973	CDS	1143				hypothetical protein
NGPMFCKN_00974	CDS	237				hypothetical protein
NGPMFCKN_00975	CDS	240				hypothetical protein
NGPMFCKN_00976	CDS	219				hypothetical protein
NGPMFCKN_00977	CDS	282				hypothetical protein
NGPMFCKN_00978	CDS	192				hypothetical protein
NGPMFCKN_00979	CDS	183				hypothetical protein
NGPMFCKN_00980	CDS	681				hypothetical protein
NGPMFCKN_00981	CDS	786				hypothetical protein
NGPMFCKN_00982	CDS	297				hypothetical protein
NGPMFCKN_00983	CDS	144				hypothetical protein
NGPMFCKN_00984	CDS	165				hypothetical protein
NGPMFCKN_00985	CDS	369				hypothetical protein
NGPMFCKN_00986	CDS	582				hypothetical protein
NGPMFCKN_00987	CDS	309				hypothetical protein
NGPMFCKN_00988	CDS	900				hypothetical protein
NGPMFCKN_00989	CDS	708	lexA_1	3.4.21.88		LexA repressor
NGPMFCKN_00990	CDS	228				hypothetical protein
NGPMFCKN_00991	CDS	300				hypothetical protein
NGPMFCKN_00992	CDS	900				hypothetical protein
NGPMFCKN_00993	CDS	702				hypothetical protein
NGPMFCKN_00994	CDS	291				hypothetical protein
NGPMFCKN_00995	CDS	441				hypothetical protein
NGPMFCKN_00996	CDS	528				hypothetical protein
NGPMFCKN_00997	CDS	342				hypothetical protein
NGPMFCKN_00998	CDS	363	rusA_3	3.1.22.4	COG4570	Crossover junction endodeoxyribonuclease RusA
NGPMFCKN_00999	CDS	138	ylcG			putative protein YlcG
NGPMFCKN_01000	CDS	378				hypothetical protein
NGPMFCKN_01001	CDS	525	blc_1		COG3040	Outer membrane lipoprotein Blc
NGPMFCKN_01002	CDS	960				hypothetical protein
NGPMFCKN_01003	CDS	732	gadW_1			HTH-type transcriptional regulator GadW
NGPMFCKN_01004	CDS	216				hypothetical protein
NGPMFCKN_01005	CDS	498	rrrD_3	3.2.1.17	COG3772	Lysozyme RrrD
NGPMFCKN_01006	CDS	462				hypothetical protein
NGPMFCKN_01007	CDS	294				hypothetical protein
NGPMFCKN_01008	CDS	546				hypothetical protein
NGPMFCKN_01009	CDS	1926				hypothetical protein
NGPMFCKN_01010	CDS	207				hypothetical protein
NGPMFCKN_01011	CDS	1602				hypothetical protein
NGPMFCKN_01012	CDS	1332	sppA_3	3.4.21.-	COG0616	Putative signal peptide peptidase SppA
NGPMFCKN_01013	CDS	333				hypothetical protein
NGPMFCKN_01014	CDS	1026				hypothetical protein
NGPMFCKN_01015	CDS	396				hypothetical protein
NGPMFCKN_01016	CDS	354				hypothetical protein
NGPMFCKN_01017	CDS	579				hypothetical protein
NGPMFCKN_01018	CDS	396				hypothetical protein
NGPMFCKN_01019	CDS	741				hypothetical protein
NGPMFCKN_01020	CDS	423				hypothetical protein
NGPMFCKN_01021	CDS	435				hypothetical protein
NGPMFCKN_01022	CDS	2580				hypothetical protein
NGPMFCKN_01023	CDS	330				hypothetical protein
NGPMFCKN_01024	CDS	699				hypothetical protein
NGPMFCKN_01025	CDS	600				hypothetical protein
NGPMFCKN_01026	CDS	573				hypothetical protein
NGPMFCKN_01027	CDS	3483				hypothetical protein
NGPMFCKN_01028	CDS	2022				hypothetical protein
NGPMFCKN_01029	CDS	279				hypothetical protein
NGPMFCKN_01030	CDS	294				hypothetical protein
NGPMFCKN_01031	CDS	858	mntB_1			Manganese transport system membrane protein MntB
NGPMFCKN_01032	CDS	858	mntB_2			Manganese transport system membrane protein MntB
NGPMFCKN_01033	CDS	828			COG1120	putative ABC transporter ATP-binding protein
NGPMFCKN_01034	CDS	915	hpf_1			Putative metal ABC transporter substrate-binding protein Hpf
NGPMFCKN_01035	CDS	981				hypothetical protein
NGPMFCKN_01036	CDS	387				hypothetical protein
NGPMFCKN_01037	CDS	156				hypothetical protein
NGPMFCKN_01038	CDS	153	icd_2	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
NGPMFCKN_01039	CDS	405	ydfO_1		COG5562	putative protein YdfO
NGPMFCKN_01040	CDS	732	bluR		COG0789	HTH-type transcriptional repressor BluR
NGPMFCKN_01041	CDS	1212	bluF			Blue light- and temperature-regulated antirepressor BluF
NGPMFCKN_01042	CDS	237	ycgZ			putative two-component-system connector protein YcgZ
NGPMFCKN_01043	CDS	267	ariR			putative two-component-system connector protein AriR
NGPMFCKN_01044	CDS	249	ymgC			putative protein YmgC
NGPMFCKN_01045	CDS	1014	pdeG	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeG
NGPMFCKN_01046	CDS	219	ymgF			Inner membrane protein YmgF
NGPMFCKN_01047	CDS	984				hypothetical protein
NGPMFCKN_01048	CDS	1449	icsA_1		COG3468	Outer membrane protein IcsA autotransporter
NGPMFCKN_01049	CDS	330	ymgD			putative protein YmgD
NGPMFCKN_01050	CDS	285				hypothetical protein
NGPMFCKN_01051	CDS	327				putative autotransporter
NGPMFCKN_01052	CDS	267	minE		COG0851	Cell division topological specificity factor
NGPMFCKN_01053	CDS	813	minD		COG2894	Septum site-determining protein MinD
NGPMFCKN_01054	CDS	696	minC		COG0850	Septum site-determining protein MinC
NGPMFCKN_01055	CDS	369				hypothetical protein
NGPMFCKN_01056	CDS	402	pliG			Inhibitor of g-type lysozyme
NGPMFCKN_01057	CDS	294	ycgL		COG3100	Protein YcgL
NGPMFCKN_01058	CDS	660	ycgM		COG0179	putative protein YcgM
NGPMFCKN_01059	CDS	447				hypothetical protein
NGPMFCKN_01060	CDS	912	hlyE			Hemolysin E, chromosomal
NGPMFCKN_01061	CDS	420	umuD_1	3.4.21.-	COG1974	Protein UmuD
NGPMFCKN_01062	CDS	1269	umuC_1		COG0389	Protein UmuC
NGPMFCKN_01063	CDS	531	dsbB		COG1495	Disulfide bond formation protein B
NGPMFCKN_01064	CDS	1542	nhaB		COG3067	Na(+)/H(+) antiporter NhaB
NGPMFCKN_01065	CDS	720	fadR		COG2186	Fatty acid metabolism regulator protein
NGPMFCKN_01066	CDS	1533				hypothetical protein
NGPMFCKN_01067	CDS	1299	dadA	1.4.99.-	COG0665	D-amino acid dehydrogenase
NGPMFCKN_01068	CDS	1071	dadX	5.1.1.1	COG0787	Alanine racemase, catabolic
NGPMFCKN_01069	CDS	1437	slrP_1	2.3.2.27	COG4886	E3 ubiquitin-protein ligase SlrP
NGPMFCKN_01070	CDS	153				hypothetical protein
NGPMFCKN_01071	CDS	1737	cvrA		COG3263	K(+)/H(+) antiporter NhaP2
NGPMFCKN_01072	CDS	915	ldcA	3.4.17.13	COG1619	Murein tetrapeptide carboxypeptidase
NGPMFCKN_01073	CDS	612	emtA	4.2.2.-	COG0741	Endo-type membrane-bound lytic murein transglycosylase A
NGPMFCKN_01074	CDS	735	ycgR		COG5581	Flagellar brake protein YcgR
NGPMFCKN_01075	CDS	255				hypothetical protein
NGPMFCKN_01076	CDS	1971	cirA_1		COG4771	Colicin I receptor
NGPMFCKN_01077	CDS	855	nadC_1	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
NGPMFCKN_01078	CDS	813	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
NGPMFCKN_01079	CDS	759			COG1120	putative ABC transporter ATP-binding protein
NGPMFCKN_01080	CDS	981			COG0609	putative ABC transporter permease protein
NGPMFCKN_01081	CDS	1023				hypothetical protein
NGPMFCKN_01082	CDS	1698	treA	3.2.1.28	COG1626	Periplasmic trehalase
NGPMFCKN_01083	CDS	1419	dhaM	3.5.1.-	COG1080	Protein-lysine deacetylase
NGPMFCKN_01084	CDS	633	dhaL	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
NGPMFCKN_01085	CDS	1071	dhaK	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
NGPMFCKN_01086	CDS	1920	dhaR		COG3284	PTS-dependent dihydroxyacetone kinase operon regulatory protein
NGPMFCKN_01087	CDS	2868				putative autotransporter
NGPMFCKN_01088	CDS	255				hypothetical protein
NGPMFCKN_01089	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
NGPMFCKN_01090	CDS	585	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
NGPMFCKN_01091	CDS	279				hypothetical protein
NGPMFCKN_01092	CDS	1653	dauA		COG0659	C4-dicarboxylic acid transporter DauA
NGPMFCKN_01093	CDS	1014	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
NGPMFCKN_01094	CDS	852	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
NGPMFCKN_01095	CDS	624	lolB		COG3017	Outer-membrane lipoprotein LolB
NGPMFCKN_01096	CDS	1326	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
NGPMFCKN_01097	CDS	1083	prfA_1		COG0216	Peptide chain release factor RF1
NGPMFCKN_01098	CDS	834	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
NGPMFCKN_01099	CDS	393	ychQ		COG3094	Protein YchQ
NGPMFCKN_01100	CDS	810				hypothetical protein
NGPMFCKN_01101	CDS	855	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
NGPMFCKN_01102	CDS	108	ldrA_1			Small toxic polypeptide LdrA
NGPMFCKN_01103	CDS	108	ldrA_2			Small toxic polypeptide LdrA
NGPMFCKN_01104	CDS	1101	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
NGPMFCKN_01105	CDS	231	chaB		COG4572	Putative cation transport regulator ChaB
NGPMFCKN_01106	CDS	717	chaC	4.3.2.-	COG3703	Glutathione-specific gamma-glutamylcyclotransferase
NGPMFCKN_01107	CDS	354	ychN		COG1553	Protein YchN
NGPMFCKN_01108	CDS	1431				Invasin
NGPMFCKN_01109	CDS	651	narL_1		COG2197	Nitrate/nitrite response regulator protein NarL
NGPMFCKN_01110	CDS	1797	narX	2.7.13.3		Nitrate/nitrite sensor protein NarX
NGPMFCKN_01111	CDS	219				hypothetical protein
NGPMFCKN_01112	CDS	1392	narK		COG2223	Nitrate/nitrite transporter NarK
NGPMFCKN_01113	CDS	3744	narG	1.7.99.4	COG5013	Respiratory nitrate reductase 1 alpha chain
NGPMFCKN_01114	CDS	1539	narH	1.7.99.4	COG1140	Respiratory nitrate reductase 1 beta chain
NGPMFCKN_01115	CDS	711	narJ		COG2180	Nitrate reductase molybdenum cofactor assembly chaperone NarJ
NGPMFCKN_01116	CDS	678	narI	1.7.99.4	COG2181	Respiratory nitrate reductase 1 gamma chain
NGPMFCKN_01117	CDS	180				hypothetical protein
NGPMFCKN_01118	tRNA	85				tRNA-Tyr(gta)
NGPMFCKN_01119	tRNA	85				tRNA-Tyr(gta)
NGPMFCKN_01120	CDS	843	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
NGPMFCKN_01121	CDS	459				hypothetical protein
NGPMFCKN_01122	CDS	906			COG1752	putative NTE family protein
NGPMFCKN_01123	CDS	1014	rssB		COG0784	Regulator of RpoS
NGPMFCKN_01124	CDS	909	galU	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
NGPMFCKN_01125	CDS	459				hypothetical protein
NGPMFCKN_01126	CDS	414	hns_1		COG2916	DNA-binding protein H-NS
NGPMFCKN_01127	CDS	618	tdk	2.7.1.21	COG1435	Thymidine kinase
NGPMFCKN_01128	CDS	1329				hypothetical protein
NGPMFCKN_01129	CDS	2676	adhE_1		COG1012	Aldehyde-alcohol dehydrogenase
NGPMFCKN_01130	CDS	648				hypothetical protein
NGPMFCKN_01131	CDS	156				hypothetical protein
NGPMFCKN_01132	CDS	297				hypothetical protein
NGPMFCKN_01133	CDS	1677	oppA		COG4166	Periplasmic oligopeptide-binding protein
NGPMFCKN_01134	CDS	921	oppB		COG0601	Oligopeptide transport system permease protein OppB
NGPMFCKN_01135	CDS	909	oppC		COG1173	Oligopeptide transport system permease protein OppC
NGPMFCKN_01136	CDS	1014	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
NGPMFCKN_01137	CDS	1005	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
NGPMFCKN_01138	CDS	330				hypothetical protein
NGPMFCKN_01139	CDS	1461	clsA	2.7.8.-	COG1502	Cardiolipin synthase A
NGPMFCKN_01140	CDS	1254	kch		COG1226	Voltage-gated potassium channel Kch
NGPMFCKN_01141	CDS	297	yciI		COG2350	Protein YciI
NGPMFCKN_01142	CDS	720	tonB_2		COG0810	Protein TonB
NGPMFCKN_01143	CDS	399		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
NGPMFCKN_01144	CDS	540	yciB		COG2917	putative intracellular septation protein A
NGPMFCKN_01145	CDS	744				hypothetical protein
NGPMFCKN_01146	CDS	639	ompW		COG3047	Outer membrane protein W
NGPMFCKN_01147	CDS	1131				hypothetical protein
NGPMFCKN_01148	CDS	2472	recE_2	3.1.11.-		Exodeoxyribonuclease 8
NGPMFCKN_01149	CDS	192				hypothetical protein
NGPMFCKN_01150	CDS	189				hypothetical protein
NGPMFCKN_01151	CDS	276				hypothetical protein
NGPMFCKN_01152	CDS	321				hypothetical protein
NGPMFCKN_01153	CDS	234				hypothetical protein
NGPMFCKN_01154	CDS	477				hypothetical protein
NGPMFCKN_01155	CDS	324				hypothetical protein
NGPMFCKN_01156	CDS	426				hypothetical protein
NGPMFCKN_01157	CDS	933				hypothetical protein
NGPMFCKN_01158	CDS	747	dnaC_1		COG1484	DNA replication protein DnaC
NGPMFCKN_01159	CDS	771				hypothetical protein
NGPMFCKN_01160	CDS	426				hypothetical protein
NGPMFCKN_01161	CDS	687	queH	1.17.99.6	COG1636	Epoxyqueuosine reductase QueH
NGPMFCKN_01162	CDS	213	hokC_2			Toxic protein HokC
NGPMFCKN_01163	CDS	1059				hypothetical protein
NGPMFCKN_01164	CDS	366	rusA_4	3.1.22.4	COG4570	Crossover junction endodeoxyribonuclease RusA
NGPMFCKN_01165	CDS	690				hypothetical protein
NGPMFCKN_01166	CDS	198				hypothetical protein
NGPMFCKN_01167	CDS	1050	dpnA	2.1.1.72		Modification methylase DpnIIB
